Date,Close_Price
7/31/2025,1914.3
8/1/2025,1884.4
8/4/2025,1914.6
8/5/2025,1931.8
8/6/2025,1929.7
8/7/2025,1922.6
8/8/2025,1858.6
8/11/2025,1857.4
8/12/2025,1850.3
8/13/2025,1867.4
8/14/2025,1873.8
8/18/2025,1892.3
8/19/2025,1909.7
8/20/2025,1928.4
8/21/2025,1929.9
8/22/2025,1933.3
8/25/2025,1930.7
8/26/2025,1904.7
8/28/2025,1881.1
8/29/2025,1888.8
8/28/2025,1881.1
8/29/2025,1888.8
9/10/2025,1891.4
11/17/2025,2112.2
11/17/2025,2112.2
11/18/2025,2149.2
11/19/2025,2159.8
11/20/2025,2158.3
11/24/2025,2152.1
11/24/2025,2152.1
11/25/2025,2161.6
11/26/2025,2126.8
11/27/2025,2115.6
11/28/2025,2101.6
12/1/2025,2089.7
12/2/2025,2104
12/3/2025,2086
12/4/2025,2103.8
12/5/2025,2108.8
12/8/2025,2086.2
12/9/2025,2089.7
12/10/2025,2067
12/11/2025,2053.2
12/12/2025,2083.4
12/15/2025,2069.7
12/16/2025,2102
12/17/2025,2108
12/18/2025,2092
12/19/2025,2097.7
12/22/2025,2147.6
12/23/2025,2122.9
12/24/2025,2123.7
12/26/2025,2105.4
12/29/2025,2081.6
12/30/2025,2099.8
12/31/2025,2105.6
1/1/2026,2110.4
1/1/2026,2110.4
1/1/2026,2110.4
1/1/2026,2110.4
1/1/2026,2110.4
1/1/2026,2110.4
1/1/2026,2110.4
1/5/2026,2105
1/6/2026,2105.3
1/7/2026,2084.2
1/8/2026,2066.3
1/9/2026,2027.1
1/12/2026,2044
1/13/2026,2026.9
1/14/2026,2022.5
1/16/2026,2016.4
1/19/2026,2010
1/20/2026,1996
1/21/2026,1996.1
1/22/2026,2002.2
1/23/2026,1984.7
1/27/2026,1973.4
1/28/2026,1957.7
1/29/2026,1967.9
1/30/2026,1968.7
2/1/2026,1949
2/2/2026,1965.4
2/3/2026,1997.3
2/4/2026,2025.8
2/5/2026,1992.4
2/6/2026,2038.4
2/9/2026,2038.2
2/10/2026,2011.3
2/11/2026,2012.1
2/12/2026,2014.5
2/13/2026,2004.7
2/16/2026,2029.4
2/17/2026,2020.3
2/18/2026,2021.8
2/19/2026,1988.6
2/23/2026,1997.3
2/24/2026,1941
2/25/2026,1913.4
2/26/2026,1929.6
2/27/2026,1879.3
3/2/2026,1873.2
3/4/2026,1905.9
3/5/2026,1907
3/9/2026,1866.7
3/10/2026,1850.4
3/11/2026,1807
3/12/2026,1801.3
3/13/2026,1803.4
3/16/2026,1788.8
3/17/2026,1827
3/18/2026,1855.4
3/19/2026,1827
3/20/2026,1846.1
3/23/2026,1795.9
3/24/2026,1802.1
3/25/2026,1834.9
3/27/2026,1843.9
3/30/2026,1782.4
4/1/2026,1781.9
4/2/2026,1789.7
4/6/2026,1792.8
4/7/2026,1830.3
4/8/2026,1861.6
4/9/2026,1859.4
4/10/2026,1870
4/13/2026,1870.9
4/15/2026,1855.7
4/16/2026,1840.6
4/17/2026,1846.9
4/20/2026,1846.1
4/21/2026,1855
4/22/2026,1829
4/23/2026,1841.2
4/24/2026,1814.5
4/27/2026,1820.1
4/28/2026,1843.8
4/29/2026,1888.1
4/30/2026,1886.8
5/4/2026,1827.1
5/5/2026,1806.1
5/6/2026,1833.7
5/7/2026,1826.6
5/8/2026,1834.5
