Date,Close_Price
7/31/2025,383.1
8/1/2025,377.2
8/4/2025,389.55
8/5/2025,386.65
8/6/2025,389.7
8/7/2025,387.75
8/8/2025,384.6
8/11/2025,383.9
8/12/2025,380.35
8/13/2025,388.85
8/14/2025,384.9
8/18/2025,382.5
8/19/2025,380.05
8/20/2025,371.85
8/21/2025,374.2
8/22/2025,374.85
8/25/2025,372.05
8/26/2025,365.85
8/28/2025,363.85
8/29/2025,369.4
8/28/2025,363.85
8/29/2025,369.4
9/10/2025,388.05
11/17/2025,424.55
11/17/2025,424.55
11/18/2025,420.9
11/19/2025,423.2
11/20/2025,423
11/24/2025,403.8
11/24/2025,403.8
11/25/2025,410.25
11/26/2025,415.3
11/27/2025,413.05
11/28/2025,411.75
12/1/2025,417.25
12/2/2025,413.05
12/3/2025,403.95
12/4/2025,407.15
12/5/2025,406.9
12/8/2025,386.4
12/9/2025,389.45
12/10/2025,387.35
12/11/2025,387.5
12/12/2025,389.45
12/15/2025,390.75
12/16/2025,388
12/17/2025,385.6
12/18/2025,383.45
12/19/2025,392.85
12/22/2025,398.95
12/23/2025,399.4
12/24/2025,400
12/26/2025,398.45
12/29/2025,393.25
12/30/2025,393.3
12/31/2025,399.6
1/1/2026,397.7
1/1/2026,397.7
1/1/2026,397.7
1/1/2026,397.7
1/1/2026,397.7
1/1/2026,397.7
1/1/2026,397.7
1/5/2026,413.8
1/6/2026,413.1
1/7/2026,415.65
1/8/2026,415.65
1/9/2026,418.65
1/12/2026,417.7
1/13/2026,413.7
1/14/2026,417.6
1/16/2026,410.25
1/19/2026,412.8
1/20/2026,409.35
1/21/2026,402.65
1/22/2026,417.3
1/23/2026,410.7
1/27/2026,415.95
1/28/2026,453
1/29/2026,444.5
1/30/2026,449
2/1/2026,425.35
2/2/2026,439.1
2/3/2026,438.95
2/4/2026,439.2
2/5/2026,432.9
2/6/2026,429.65
2/9/2026,437.3
2/10/2026,437.3
2/11/2026,437.55
2/12/2026,443.9
2/13/2026,435.55
2/16/2026,438
2/17/2026,446.85
2/18/2026,447.7
2/19/2026,435.35
2/23/2026,439.75
2/24/2026,435.05
2/25/2026,439.3
2/26/2026,449.05
2/27/2026,444.7
3/2/2026,453.95
3/4/2026,446.85
3/5/2026,460
3/9/2026,457.35
3/10/2026,463.35
3/11/2026,454.1
3/12/2026,453.55
3/13/2026,439.4
3/16/2026,429.5
3/17/2026,439.35
3/18/2026,442.6
3/19/2026,430.8
3/20/2026,426.1
3/23/2026,405.5
3/24/2026,414.45
3/25/2026,413.45
3/27/2026,404.75
3/30/2026,400.65
4/1/2026,418.7
4/2/2026,421.6
4/6/2026,427.15
4/7/2026,427.8
4/8/2026,433.1
4/9/2026,439.75
4/10/2026,442.45
4/13/2026,441.55
4/15/2026,447.65
4/16/2026,455.65
4/17/2026,462.75
4/20/2026,457.55
4/21/2026,451.5
4/22/2026,448.7
4/23/2026,449.95
4/24/2026,444.45
4/27/2026,435.6
4/28/2026,435.75
4/29/2026,437.55
4/30/2026,431.3
5/4/2026,433.55
5/5/2026,433.35
5/6/2026,438.2
5/7/2026,439.45
5/8/2026,439.7
