Date,Close_Price
7/31/2025,238.45
8/1/2025,231.6
8/4/2025,241.43
8/5/2025,248.25
8/6/2025,239.83
8/7/2025,227.97
8/8/2025,222.71
8/11/2025,221.46
8/12/2025,222.87
8/13/2025,223.99
8/14/2025,221.33
8/18/2025,216.62
8/19/2025,219.7
8/20/2025,220.67
8/21/2025,218.48
8/22/2025,218.59
8/25/2025,216.51
8/26/2025,211.5
8/28/2025,208.51
8/29/2025,208.01
8/28/2025,208.51
8/29/2025,208.01
9/10/2025,220.03
11/17/2025,285.5
11/17/2025,285.5
11/18/2025,289.1
11/19/2025,289.2
11/20/2025,285.25
11/24/2025,277.9
11/24/2025,277.9
11/25/2025,282.9
11/26/2025,289.7
11/27/2025,290.85
11/28/2025,290.85
12/1/2025,291
12/2/2025,285.5
12/3/2025,278.55
12/4/2025,275.75
12/5/2025,277.75
12/8/2025,269.7
12/9/2025,277
12/10/2025,275
12/11/2025,276.5
12/12/2025,285.15
12/15/2025,282.6
12/16/2025,279.35
12/17/2025,277.85
12/18/2025,275.05
12/19/2025,275.75
12/22/2025,281.85
12/23/2025,281.9
12/24/2025,278.2
12/26/2025,281.5
12/29/2025,279.4
12/30/2025,282.8
12/31/2025,287.45
1/1/2026,291.45
1/1/2026,291.45
1/1/2026,291.45
1/1/2026,291.45
1/1/2026,291.45
1/1/2026,291.45
1/1/2026,291.45
1/5/2026,300.05
1/6/2026,296.95
1/7/2026,303.55
1/8/2026,271.75
1/9/2026,274.25
1/12/2026,267.9
1/13/2026,265.55
1/14/2026,267.45
1/16/2026,265.4
1/19/2026,263.1
1/20/2026,250.15
1/21/2026,252.35
1/22/2026,251.55
1/23/2026,242.5
1/27/2026,247.7
1/28/2026,259.65
1/29/2026,260.5
1/30/2026,262.7
2/1/2026,252.1
2/2/2026,258.25
2/3/2026,267.9
2/4/2026,272.7
2/5/2026,268.9
2/6/2026,266.6
2/9/2026,274.65
2/10/2026,276.1
2/11/2026,260.65
2/12/2026,260.6
2/13/2026,255.75
2/16/2026,262.5
2/17/2026,262.8
2/18/2026,261.6
2/19/2026,253.8
2/23/2026,258.25
2/24/2026,261.8
2/25/2026,261.95
2/26/2026,264.85
2/27/2026,264.95
3/2/2026,262.15
3/4/2026,247.9
3/5/2026,257.25
3/9/2026,255.4
3/10/2026,258.65
3/11/2026,255.75
3/12/2026,267.85
3/13/2026,258.5
3/16/2026,253.5
3/17/2026,256.35
3/18/2026,260.15
3/19/2026,251.75
3/20/2026,262.05
3/23/2026,252.85
3/24/2026,258.2
3/25/2026,262.05
3/27/2026,254.85
3/30/2026,245.5
4/1/2026,251.84
4/2/2026,248.11
4/6/2026,245.64
4/7/2026,253.59
4/8/2026,265.7
4/9/2026,277.2
4/10/2026,284.71
4/13/2026,287.77
4/15/2026,292.5
4/16/2026,309.26
4/17/2026,316.79
4/20/2026,325.63
4/21/2026,332.61
4/22/2026,333.64
4/23/2026,337.6
4/24/2026,337.39
4/27/2026,348.58
4/28/2026,354.71
4/29/2026,344.5
4/30/2026,352.41
5/4/2026,377.05
5/5/2026,374.95
5/6/2026,385.95
5/7/2026,406.45
5/8/2026,404.6
