Date,Close_Price
7/31/2025,984.7
8/1/2025,972.6
8/4/2025,989.8
8/5/2025,971.75
8/6/2025,957.55
8/7/2025,936.7
8/8/2025,914.05
8/11/2025,929.1
8/12/2025,930.9
8/13/2025,924.15
8/14/2025,917.5
8/18/2025,941.65
8/19/2025,973.4
8/20/2025,975.95
8/21/2025,966.6
8/22/2025,957.2
8/25/2025,964.1
8/26/2025,931.25
8/28/2025,921.15
8/29/2025,913.5
8/28/2025,921.15
8/29/2025,913.5
9/10/2025,963.35
11/17/2025,1088.6
11/17/2025,1088.6
11/18/2025,1077.6
11/19/2025,1069.9
11/20/2025,1060
11/24/2025,1009.4
11/24/2025,1009.4
11/25/2025,1011.6
11/26/2025,1034.4
11/27/2025,1031.1
11/28/2025,1048.2
12/1/2025,1039.6
12/2/2025,1022.6
12/3/2025,1012.6
12/4/2025,1013.4
12/5/2025,1017.7
12/8/2025,993.8
12/9/2025,998.9
12/10/2025,989.8
12/11/2025,1018.8
12/12/2025,1040.2
12/15/2025,1047.6
12/16/2025,1028.2
12/17/2025,1020.7
12/18/2025,1011
12/19/2025,1020.9
12/22/2025,1020.8
12/23/2025,1016.9
12/24/2025,1015
12/26/2025,1018.1
12/29/2025,1001.9
12/30/2025,1007.1
12/31/2025,1015.1
1/1/2026,1025.9
1/1/2026,1025.9
1/1/2026,1025.9
1/1/2026,1025.9
1/1/2026,1025.9
1/1/2026,1025.9
1/1/2026,1025.9
1/5/2026,1030.5
1/6/2026,1019.4
1/7/2026,1019.2
1/8/2026,988.8
1/9/2026,946.1
1/12/2026,942.2
1/13/2026,936.7
1/14/2026,935.3
1/16/2026,930.1
1/19/2026,914
1/20/2026,883.2
1/21/2026,878.7
1/22/2026,904.3
1/23/2026,772.8
1/27/2026,799.1
1/28/2026,822.9
1/29/2026,858.8
1/30/2026,852.3
2/1/2026,806.8
2/2/2026,843.95
2/3/2026,932.1
2/4/2026,954.45
2/5/2026,967.15
2/6/2026,971.85
2/9/2026,982.65
2/10/2026,978.3
2/11/2026,994.75
2/12/2026,997.65
2/13/2026,950.5
2/16/2026,991.25
2/17/2026,1016.8
2/18/2026,1000.1
2/19/2026,976.5
2/23/2026,970.35
2/24/2026,981.35
2/25/2026,964.15
2/26/2026,965.95
2/27/2026,947.35
3/2/2026,903.55
3/4/2026,871.95
3/5/2026,884.55
3/9/2026,854.15
3/10/2026,856.9
3/11/2026,849.65
3/12/2026,866.55
3/13/2026,861.35
3/16/2026,866.95
3/17/2026,868.65
3/18/2026,891.3
3/19/2026,854.9
3/20/2026,863.1
3/23/2026,816.45
3/24/2026,839.55
3/25/2026,853.8
3/27/2026,832.5
3/30/2026,806.9
4/1/2026,851.95
4/2/2026,856
4/6/2026,921.1
4/7/2026,925.35
4/8/2026,1029.65
4/9/2026,1044.55
4/10/2026,1085.35
4/13/2026,1085.45
4/15/2026,1096.05
4/16/2026,1118.9
4/17/2026,1127.3
4/20/2026,1152.7
4/21/2026,1150
4/22/2026,1198.95
4/23/2026,1214.15
4/24/2026,1235.8
4/27/2026,1229.7
4/28/2026,1249.95
4/29/2026,1244.8
4/30/2026,1227.15
5/4/2026,1290.7
5/5/2026,1331.4
5/6/2026,1353
5/7/2026,1365
5/8/2026,1355.8
