Date,Close_Price
7/31/2025,121.05
8/1/2025,120.35
8/4/2025,122.6
8/5/2025,121.97
8/6/2025,120.73
8/7/2025,119.81
8/8/2025,115.42
8/11/2025,120.02
8/12/2025,119.36
8/13/2025,119.73
8/14/2025,121.96
8/18/2025,131.76
8/19/2025,133.28
8/20/2025,133.1
8/21/2025,131.01
8/22/2025,131.2
8/25/2025,131.01
8/26/2025,131.37
8/28/2025,129.82
8/29/2025,126.98
8/28/2025,129.82
8/29/2025,126.98
9/10/2025,134.01
11/17/2025,148.45
11/17/2025,148.45
11/18/2025,147.23
11/19/2025,145.46
11/20/2025,146.24
11/24/2025,144.59
11/24/2025,144.59
11/25/2025,145.83
11/26/2025,148.95
11/27/2025,159.75
11/28/2025,158.12
12/1/2025,160.3
12/2/2025,160
12/3/2025,162.71
12/4/2025,160.21
12/5/2025,160.86
12/8/2025,159.28
12/9/2025,159.58
12/10/2025,158.01
12/11/2025,160.33
12/12/2025,163.86
12/15/2025,166.82
12/16/2025,167.75
12/17/2025,166.14
12/18/2025,171.57
12/19/2025,173.56
12/22/2025,177.05
12/23/2025,177.96
12/24/2025,175.31
12/26/2025,174.68
12/29/2025,174.92
12/30/2025,178.63
12/31/2025,179.19
1/1/2026,184.88
1/1/2026,184.88
1/1/2026,184.88
1/1/2026,184.88
1/1/2026,184.88
1/1/2026,184.88
1/1/2026,184.88
1/5/2026,187.76
1/6/2026,186.15
1/7/2026,186.12
1/8/2026,184.52
1/9/2026,187.76
1/12/2026,187.01
1/13/2026,185.7
1/14/2026,186.89
1/16/2026,184.25
1/19/2026,187.98
1/20/2026,180.79
1/21/2026,181.24
1/22/2026,190.28
1/23/2026,192.98
1/27/2026,193
1/28/2026,195.33
1/29/2026,194.06
1/30/2026,196.69
2/1/2026,189.06
2/2/2026,194.4
2/3/2026,199.87
2/4/2026,200.92
2/5/2026,201.5
2/6/2026,201.84
2/9/2026,205.8
2/10/2026,209.73
2/11/2026,206.35
2/12/2026,211.02
2/13/2026,204.63
2/16/2026,205.86
2/17/2026,207.68
2/18/2026,208.34
2/19/2026,203.49
2/23/2026,210.76
2/24/2026,210.18
2/25/2026,211.61
2/26/2026,211.92
2/27/2026,211.1
3/2/2026,209.01
3/4/2026,200.46
3/5/2026,203.04
3/9/2026,186.94
3/10/2026,193.56
3/11/2026,184.66
3/12/2026,178.47
3/13/2026,170.65
3/16/2026,172.77
3/17/2026,176.11
3/18/2026,178.62
3/19/2026,168.57
3/20/2026,168.89
3/23/2026,161.98
3/24/2026,167.13
3/25/2026,170.95
3/27/2026,163.09
3/30/2026,154.13
4/1/2026,149.11
4/2/2026,148.44
4/6/2026,150.91
4/7/2026,152.93
4/8/2026,172.48
4/9/2026,170.38
4/10/2026,178.02
4/13/2026,172.06
4/15/2026,175.48
4/16/2026,176.73
4/17/2026,174.78
4/20/2026,175.96
4/21/2026,176.61
4/22/2026,178.97
4/23/2026,170.63
4/24/2026,169.9
4/27/2026,169.3
4/28/2026,167.52
4/29/2026,165.73
4/30/2026,162.09
5/4/2026,160.77
5/5/2026,160.25
5/6/2026,167.8
5/7/2026,170.78
5/8/2026,168.57
