Date,Close_Price
7/31/2025,1788.4
8/1/2025,1794.6
8/4/2025,1790.2
8/5/2025,1801.8
8/6/2025,1830.4
8/7/2025,1817.8
8/8/2025,1788.2
8/11/2025,1786.2
8/12/2025,1787.7
8/13/2025,1786.3
8/14/2025,1782.7
8/18/2025,1843.5
8/19/2025,1859.5
8/20/2025,1863.1
8/21/2025,1849.9
8/22/2025,1821.1
8/25/2025,1807.7
8/26/2025,1798.5
8/28/2025,1801
8/29/2025,1801.8
8/28/2025,1801
8/29/2025,1801.8
9/10/2025,1848.8
11/17/2025,1846.7
11/17/2025,1846.7
11/18/2025,1838.7
11/19/2025,1836.9
11/20/2025,1851.4
11/24/2025,1913.7
11/24/2025,1913.7
11/25/2025,1869.1
11/26/2025,1884.5
11/27/2025,1870.2
11/28/2025,1850.6
12/1/2025,1850.5
12/2/2025,1851.9
12/3/2025,1840.2
12/4/2025,1815.2
12/5/2025,1798.2
12/8/2025,1796
12/9/2025,1785
12/10/2025,1782.3
12/11/2025,1778.9
12/12/2025,1771.7
12/15/2025,1777.6
12/16/2025,1771.4
12/17/2025,1758.9
12/18/2025,1754.9
12/19/2025,1751.5
12/22/2025,1782.5
12/23/2025,1754.2
12/24/2025,1739.4
12/26/2025,1735.3
12/29/2025,1725.2
12/30/2025,1732.1
12/31/2025,1737.7
1/1/2026,1740.4
1/1/2026,1740.4
1/1/2026,1740.4
1/1/2026,1740.4
1/1/2026,1740.4
1/1/2026,1740.4
1/1/2026,1740.4
1/5/2026,1771.6
1/6/2026,1752
1/7/2026,1755.4
1/8/2026,1723.4
1/9/2026,1703.2
1/12/2026,1706.7
1/13/2026,1707.3
1/14/2026,1728.1
1/16/2026,1755.6
1/19/2026,1733.7
1/20/2026,1696.8
1/21/2026,1716.7
1/22/2026,1728.2
1/23/2026,1669.1
1/27/2026,1687.9
1/28/2026,1684.3
1/29/2026,1678.5
1/30/2026,1636.9
2/1/2026,1620.8
2/2/2026,1636
2/3/2026,1668.9
2/4/2026,1692.1
2/5/2026,1676.2
2/6/2026,1667.4
2/9/2026,1706.1
2/10/2026,1695.4
2/11/2026,1698
2/12/2026,1671.3
2/13/2026,1637.1
2/16/2026,1632.2
2/17/2026,1639.4
2/18/2026,1640.6
2/19/2026,1617.6
2/23/2026,1618.8
2/24/2026,1619.1
2/25/2026,1623.9
2/26/2026,1613.1
2/27/2026,1592.4
3/2/2026,1553.2
3/4/2026,1529.7
3/5/2026,1523.6
3/9/2026,1450.5
3/10/2026,1474
3/11/2026,1456.4
3/12/2026,1433.4
3/13/2026,1376.4
3/16/2026,1373.2
3/17/2026,1385
3/18/2026,1405.2
3/19/2026,1352.9
3/20/2026,1381.4
3/23/2026,1329.8
3/24/2026,1334.3
3/25/2026,1367.9
3/27/2026,1314.4
3/30/2026,1254.6
4/1/2026,1327.9
4/2/2026,1325.9
4/6/2026,1362.1
4/7/2026,1340
4/8/2026,1411
4/9/2026,1391.9
4/10/2026,1424.6
4/13/2026,1410.5
4/15/2026,1431.2
4/16/2026,1442.8
4/17/2026,1432.2
4/20/2026,1428.8
4/21/2026,1438
4/22/2026,1446.4
4/23/2026,1423.1
4/24/2026,1412.7
4/27/2026,1439.8
4/28/2026,1439.3
4/29/2026,1436.6
4/30/2026,1422.1
5/4/2026,1398.2
5/5/2026,1392.6
5/6/2026,1414
5/7/2026,1414.6
5/8/2026,1391.9
