Date,Close_Price,Flg,p,EP,EP-Pt-1,XAF,Rev
2025-10-15,390.6,1,390.6,390.6,0.1,0.1,1
2025-10-16,397.85,1,392.05,397.85,7.25,1.4500000000000002,1
2025-10-17,400.95,1,393.83,400.95,8.899999999999977,1.7799999999999956,1
2025-10-20,398.85,1,395.25399999999996,400.95,7.1200000000000045,1.424000000000001,1
2025-10-21,399.35,1,396.3932,400.95,5.696000000000026,1.1392000000000053,1
2025-10-23,392.15,1,397.30456,400.95,4.55680000000001,0.911360000000002,-1
2025-10-24,388.7,-1,395.583648,388.7,-8.604559999999992,-1.7209119999999984,-1
2025-10-27,379.95,-1,392.4569184,379.95,-15.633647999999994,-3.126729599999999,-1
2025-10-28,380.7,-1,389.95553472,379.95,-12.506918400000018,-2.5013836800000036,-1
2025-10-29,384.6,-1,388.104427776,380.7,-9.255534720000014,-1.851106944000003,-1
2025-10-30,383.05,-1,387.09354222080003,383.05,-5.054427776000011,-1.0108855552000022,-1
2025-10-31,381.9,-1,386.05483377664,381.9,-5.193542220800055,-1.038708444160011,-1
2025-11-03,383.3,-1,385.223867021312,381.9,-4.154833776640032,-0.8309667553280065,-1
2025-11-04,379.7,-1,384.1190936170496,379.7,-5.5238670213120145,-1.104773404262403,-1
2025-11-06,379.85,-1,383.23527489363966,379.7,-4.419093617049612,-0.8838187234099224,-1
2025-11-07,377.35,-1,382.0582199149117,377.35,-5.885274893639632,-1.1770549787279265,-1
2025-11-10,379.1,-1,381.1165759319294,377.35,-4.708219914911695,-0.941643982982339,-1
2025-11-11,377.0,-1,380.29326074554353,377.0,-4.11657593192939,-0.823315186385878,-1
2025-11-12,380.4,-1,379.6346085964348,377.0,-3.2932607455435345,-0.658652149108707,1
2025-11-13,379.7,1,379.64768687714786,379.7,0.06539140356517237,0.013078280713034475,1
2025-11-14,381.0,1,379.9181495017183,381.0,1.352313122852138,0.2704626245704276,1
2025-11-14,381.0,1,380.1345196013746,381.0,1.0818504982817103,0.21637009965634207,1
2025-11-14,381.0,1,380.3076156810997,381.0,0.8654803986253796,0.17309607972507593,1
2025-11-17,382.7,1,380.78609254487975,382.7,2.3923843189002696,0.47847686378005394,1
2025-11-17,382.7,1,381.1688740359038,382.7,1.9139074551202384,0.3827814910240477,1
2025-11-18,381.5,1,381.475099228723,382.7,1.5311259640961907,0.30622519281923816,1
2025-11-19,380.9,1,381.72007938297844,382.7,1.224900771276964,0.2449801542553928,-1
2025-11-20,380.8,-1,381.53606350638273,380.8,-0.9200793829784288,-0.18401587659568577,-1
2025-11-24,363.45,-1,377.91885080510616,363.45,-18.086063506382743,-3.6172127012765487,-1
2025-11-24,363.45,-1,375.02508064408494,363.45,-14.468850805106172,-2.8937701610212345,-1
2025-11-25,361.85,-1,372.39006451526797,361.85,-13.175080644084915,-2.635016128816983,-1
2025-11-26,365.15,-1,370.2820516122144,361.85,-10.540064515267943,-2.108012903053589,-1
2025-11-27,368.35,-1,369.2556412897715,365.15,-5.132051612214411,-1.0264103224428822,-1
2025-11-28,374.8,-1,369.0745130318172,368.35,-0.9056412897714949,-0.181128257954299,1
2025-12-01,380.15,1,371.28961042545376,380.15,11.075486968182759,2.215097393636552,1
2025-12-02,378.45,1,373.061688340363,380.15,8.860389574546218,1.7720779149092438,1
2025-12-03,372.65,1,374.47935067229037,380.15,7.088311659636986,1.4176623319273973,-1
2025-12-04,380.35,-1,374.1134805378323,372.65,-1.8293506722903885,-0.3658701344580777,1
2025-12-05,380.15,1,375.3207844302658,380.15,6.036519462167689,1.207303892433538,1
2025-12-08,373.25,1,376.28662754421265,380.15,4.829215569734174,0.9658431139468349,-1
2025-12-09,373.4,-1,375.67930203537014,373.25,-3.0366275442126494,-0.6073255088425299,-1
2025-12-10,370.4,-1,374.6234416282961,370.4,-5.279302035370165,-1.055860407074033,-1
2025-12-11,374.6,-1,373.7787533026369,370.4,-4.223441628296143,-0.8446883256592287,1
2025-12-12,373.75,1,373.77300264210953,373.75,-0.028753302636914668,-0.005750660527382934,-1
2025-12-15,372.45,-1,373.5084021136876,372.45,-1.323002642109543,-0.2646005284219086,-1
2025-12-16,366.25,-1,372.0567216909501,366.25,-7.258402113687623,-1.4516804227375246,-1
2025-12-17,363.8,-1,370.40537735276007,363.8,-8.256721690950087,-1.6513443381900175,-1
2025-12-18,359.05,-1,368.13430188220804,359.05,-11.355377352760058,-2.2710754705520118,-1
2025-12-19,363.25,-1,366.31744150576645,359.05,-9.084301882208024,-1.816860376441605,-1
2025-12-22,366.25,-1,365.7039532046132,363.25,-3.0674415057664532,-0.6134883011532907,1
2025-12-23,370.05,1,366.5731625636906,370.05,4.346046795386826,0.8692093590773653,1
2025-12-24,367.15,1,367.26853005095245,370.05,3.476837436309438,0.6953674872618877,-1
2025-12-26,365.15,-1,366.844824040762,365.15,-2.1185300509524723,-0.4237060101904945,-1
2025-12-29,361.9,-1,365.8558592326096,361.9,-4.9448240407620005,-0.9889648081524002,-1
2025-12-30,357.85,-1,364.25468738608765,357.85,-8.005859232609566,-1.6011718465219134,-1
2025-12-31,362.2,-1,362.9737499088701,357.85,-6.40468738608763,-1.2809374772175262,-1
2026-01-01,363.25,-1,362.81899992709606,362.2,-0.7737499088701156,-0.15474998177402313,1
2026-01-01,363.25,1,362.90519994167687,363.25,0.4310000729039416,0.08620001458078833,1
2026-01-01,363.25,1,362.9741599533415,363.25,0.34480005832313054,0.0689600116646261,1
2026-01-01,363.25,1,363.02932796267316,363.25,0.2758400466585158,0.05516800933170316,1
2026-01-05,367.3,1,363.88346237013855,367.3,4.270672037326847,0.8541344074653694,1
2026-01-06,363.8,1,364.5667698961108,367.3,3.416537629861466,0.6833075259722933,-1
2026-01-07,359.4,-1,363.53341591688866,359.4,-5.16676989611085,-1.03335397922217,-1
2026-01-08,352.8,-1,361.38673273351094,352.8,-10.733415916888646,-2.1466831833777293,-1
2026-01-09,346.45,-1,358.3993861868087,346.45,-14.93673273351095,-2.9873465467021902,-1
2026-01-12,349.7,-1,356.00950894944697,346.45,-11.949386186808738,-2.389877237361748,-1
2026-01-13,346.0,-1,354.00760715955755,346.0,-10.009508949446968,-2.0019017898893936,-1
2026-01-14,345.35,-1,352.27608572764603,345.35,-8.657607159557529,-1.7315214319115058,-1
2026-01-16,344.1,-1,350.6408685821168,344.1,-8.176085727646011,-1.6352171455292024,-1
2026-01-19,342.3,-1,348.9726948656934,342.3,-8.340868582116798,-1.6681737164233597,-1
2026-01-20,330.5,-1,345.27815589255476,330.5,-18.472694865693427,-3.6945389731386857,-1
2026-01-21,325.95,-1,341.4125247140438,325.95,-19.328155892554776,-3.8656311785109554,-1
2026-01-22,334.25,-1,338.320019771235,325.95,-15.46252471404381,-3.092504942808762,-1
2026-01-23,325.2,-1,335.696015816988,325.2,-13.120019771235036,-2.6240039542470073,-1
2026-01-27,323.25,-1,333.2068126535904,323.25,-12.446015816987995,-2.4892031633975993,-1
2026-01-28,321.15,-1,330.79545012287235,321.15,-12.056812653590441,-2.4113625307180886,-1
2026-01-29,320.85,-1,328.8063600982979,320.85,-9.94545012287233,-1.989090024574466,-1
2026-01-30,321.6,-1,327.2150880786383,320.85,-7.956360098297864,-1.5912720196595729,-1
2026-02-01,316.65,-1,325.10207046291066,316.65,-10.565088078638325,-2.113017615727665,-1
2026-02-02,321.2,-1,323.4116563703285,316.65,-8.452070462910683,-1.6904140925821367,-1
2026-02-03,328.0,-1,322.9693250962628,321.2,-2.2116563703285124,-0.4423312740657025,1
2026-02-04,341.5,1,326.67546007701026,341.5,18.53067490373718,3.7061349807474357,1
2026-02-05,336.8,1,329.6403680616082,341.5,14.824539922989743,2.9649079845979487,1
2026-02-06,332.65,1,332.01229444928657,341.5,11.859631938391772,2.3719263876783545,1
2026-02-09,340.45,1,333.90983555942927,341.5,9.487705550713429,1.8975411101426858,1
2026-02-10,338.8,1,335.4278684475434,341.5,7.590164440570732,1.5180328881141465,1
2026-02-11,341.1,1,336.6422947580347,341.5,6.072131552456597,1.2144263104913193,1
2026-02-12,338.05,1,337.6138358064278,341.5,4.857705241965277,0.9715410483930556,1
2026-02-13,336.8,1,338.39106864514224,341.5,3.886164193572199,0.7772328387144398,-1
2026-02-16,340.85,-1,338.0728549161138,336.8,-1.5910686451422293,-0.3182137290284459,1
2026-02-17,341.1,1,338.678283932891,341.1,3.0271450838862393,0.6054290167772479,1
2026-02-18,341.65,1,339.2726271463128,341.65,2.9717160671089573,0.5943432134217915,1
2026-02-19,333.2,1,339.74810171705025,341.65,2.377372853687177,0.4754745707374355,-1
2026-02-23,338.4,-1,338.4384813736402,333.2,-6.548101717050258,-1.3096203434100517,-1
2026-02-24,335.95,-1,337.94078509891216,335.95,-2.488481373640184,-0.4976962747280368,-1
2026-02-25,337.35,-1,337.5426280791297,335.95,-1.9907850989121698,-0.398157019782434,-1
2026-02-26,339.85,-1,337.50410246330375,337.35,-0.19262807912969038,-0.03852561582593808,1
2026-02-27,334.3,1,337.47328197064303,337.35,-0.15410246330372956,-0.030820492660745914,-1
2026-03-02,322.8,-1,334.53862557651445,322.8,-14.673281970643018,-2.934656394128604,-1
2026-03-04,313.95,-1,330.42090046121155,313.95,-20.58862557651446,-4.117725115302892,-1
2026-03-05,319.65,-1,327.12672036896925,313.95,-16.470900461211556,-3.2941800922423115,-1
2026-03-09,308.9,-1,323.4813762951754,308.9,-18.226720368969268,-3.645344073793854,-1
2026-03-10,317.05,-1,320.5651010361403,308.9,-14.581376295175403,-2.9162752590350807,-1
2026-03-11,311.5,-1,318.7520808289122,311.5,-9.065101036140277,-1.8130202072280555,-1
2026-03-12,310.0,-1,317.00166466312976,310.0,-8.752080828912199,-1.7504161657824397,-1
2026-03-13,296.6,-1,312.9213317305038,296.6,-20.401664663129736,-4.080332932625947,-1
2026-03-16,295.15,-1,309.3670653844031,295.15,-17.771331730503846,-3.5542663461007695,-1
2026-03-17,301.9,-1,306.52365230752247,295.15,-14.2170653844031,-2.84341307688062,-1
2026-03-18,308.75,-1,305.59892184601796,301.9,-4.623652307522491,-0.9247304615044982,1
2026-03-19,301.85,1,304.85913747681434,301.9,-3.6989218460179814,-0.7397843692035964,-1
2026-03-20,302.65,-1,304.2573099814515,301.85,-3.009137476814317,-0.6018274953628634,-1
2026-03-23,290.75,-1,301.5558479851612,290.75,-13.507309981451499,-2.7014619962903,-1
2026-03-24,298.5,-1,299.39467838812897,290.75,-10.805847985161222,-2.1611695970322446,-1
2026-03-25,307.15,-1,299.21574271050315,298.5,-0.8946783881289662,-0.17893567762579324,1
2026-03-27,300.85,1,299.5425941684025,300.85,1.6342572894968725,0.32685145789937453,1
2026-03-30,287.9,1,299.80407533472203,300.85,1.3074058315975208,0.2614811663195042,-1
2026-04-01,299.85,-1,297.4232602677776,287.9,-11.904075334722052,-2.3808150669444106,1
2026-04-02,299.25,1,297.7886082142221,299.25,1.8267397322223928,0.3653479464444786,1
2026-04-06,298.8,1,298.0808865713777,299.25,1.4613917857778915,0.2922783571555783,1
2026-04-07,297.25,1,298.31470925710215,299.25,1.1691134286223246,0.23382268572446493,-1
2026-04-08,314.15,-1,298.1017674056817,297.25,-1.0647092571021517,-0.21294185142043034,1
2026-04-09,311.25,1,300.73141392454534,311.25,13.148232594318301,2.6296465188636606,1
2026-04-10,324.5,1,305.4851311396363,324.5,23.768586075454664,4.753717215090933,1
2026-04-13,324.8,1,309.348104911709,324.8,19.31486886036373,3.8629737720727464,1
2026-04-15,330.0,1,313.4784839293672,330.0,20.651895088290985,4.130379017658197,1
2026-04-16,331.4,1,317.0627871434938,331.4,17.921516070632777,3.5843032141265554,1
2026-04-17,330.0,1,319.930229714795,331.4,14.337212856506198,2.8674425713012397,1
2026-04-20,329.7,1,322.224183771836,331.4,11.469770285204959,2.2939540570409918,1
2026-04-21,333.1,1,324.3993470174688,333.1,10.875816228164013,2.1751632456328025,1
2026-04-22,354.55,1,330.42947761397505,354.55,30.1506529825312,6.03013059650624,1
2026-04-23,347.25,1,335.25358209118,354.55,24.12052238602496,4.824104477204992,1
2026-04-24,342.8,1,339.112865672944,354.55,19.29641790881999,3.8592835817639983,1
2026-04-27,352.35,1,342.2002925383552,354.55,15.437134327056015,3.087426865411203,1
2026-04-28,356.25,1,345.01023403068416,356.25,14.0497074616448,2.80994149232896,1
2026-04-29,363.45,1,348.6981872245473,363.45,18.43976596931583,3.687953193863166,1
2026-04-30,360.55,1,351.64854977963785,363.45,14.751812775452663,2.950362555090533,1
2026-05-04,359.05,1,354.0088398237103,363.45,11.801450220362142,2.3602900440724284,1
2026-05-05,361.15,1,355.8970718589682,363.45,9.441160176289713,1.8882320352579427,1
2026-05-06,351.7,1,357.40765748717456,363.45,7.552928141031771,1.5105856282063543,-1
2026-05-07,364.45,-1,356.26612598973963,351.7,-5.707657487174572,-1.1415314974349144,1
2026-05-08,362.25,1,357.4629007917917,362.25,5.983874010260365,1.196774802052073,1
2026-05-11,352.7,1,358.42032063343333,362.25,4.7870992082083035,0.9574198416416607,-1
2026-05-12,346.3,-1,355.99625650674665,346.3,-12.120320633433323,-2.4240641266866647,-1
2026-05-13,349.3,-1,354.05700520539733,346.3,-9.696256506746636,-1.9392513013493273,-1
2026-05-14,349.7,-1,353.10560416431787,349.3,-4.75700520539732,-0.951401041079464,-1
2026-05-15,349.05,-1,352.2944833314543,349.05,-4.055604164317856,-0.8111208328635713,-1
2026-05-18,342.85,-1,350.4055866651634,342.85,-9.44448333145425,-1.8888966662908502,-1
2026-05-19,344.65,-1,348.8944693321307,342.85,-7.555586665163389,-1.511117333032678,-1
2026-05-20,339.55,-1,347.02557546570455,339.55,-9.3444693321307,-1.86889386642614,-1
2026-05-21,340.8,-1,345.53046037256365,339.55,-7.475575465704537,-1.4951150931409076,-1
2026-05-22,339.75,-1,344.3743682980509,339.75,-5.7804603725636525,-1.1560920745127305,-1
2026-05-25,346.25,-1,343.44949463844074,339.75,-4.624368298050911,-0.9248736596101822,1
2026-05-26,366.25,1,348.0095957107526,366.25,22.80050536155926,4.560101072311852,1
