SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MASFIN, EQ, 16-Dec-2021,699.85,704.45,708.3,686.45,703.8,703,698.75,12015,83.96,1912,5980,49.77
MASKINVEST, BE, 16-Dec-2021,38.7,39.1,39.8,38.7,39.75,39.75,39.67,189,0.07,21, -, -
MASPTOP50, EQ, 16-Dec-2021,30.77,30.79,31.44,30.79,31.4,31.37,31.37,36286,11.38,297,34109,94
MASTEK, EQ, 16-Dec-2021,2787.15,2800,2825,2682,2729,2705.9,2751.32,92307,2539.66,15302,49686,53.83
MATRIMONY, EQ, 16-Dec-2021,928.15,939,940,910.05,925.45,920.5,922.35,8459,78.02,1335,3464,40.95
MAWANASUG, EQ, 16-Dec-2021,78.9,80.9,80.9,77.55,78.95,77.85,78.2,55868,43.69,528,47351,84.76
MAXHEALTH, EQ, 16-Dec-2021,386,388.95,396.95,388.1,393,392.7,393.84,1634742,6438.26,28637,1174067,71.82
MAXIND, EQ, 16-Dec-2021,76.6,76.7,77.55,76.4,77,76.95,76.96,89807,69.12,666,57253,63.75
MAXVIL, EQ, 16-Dec-2021,133,134.55,137,130.65,134.5,134.95,134.59,367105,494.09,6492,189154,51.53
MAYURUNIQ, EQ, 16-Dec-2021,584.7,588.9,602.2,575,575,577.9,582.98,132589,772.97,7756,53812,40.59
MAZDA, EQ, 16-Dec-2021,641.9,644.6,653.55,632,632.2,636.55,640.56,1584,10.15,215,800,50.51
MAZDOCK, EQ, 16-Dec-2021,269.45,270,271.7,262.65,267.5,265.8,266.56,229617,612.06,8017,93794,40.85
MBAPL, EQ, 16-Dec-2021,182.1,182.1,186,179.95,180.5,180.25,183.08,12025,22.02,194,7921,65.87
MBECL, BE, 16-Dec-2021,7.2,7.5,7.55,7.4,7.5,7.5,7.51,791141,59.4,961, -, -
MBLINFRA, EQ, 16-Dec-2021,32.35,32.5,33,30.6,31.8,31.6,31.46,277515,87.32,1868,161884,58.33
MCDHOLDING, BE, 16-Dec-2021,137.05,131.25,137,130.55,133.9,131.9,133.51,29720,39.68,353, -, -
MCDOWELL-N, EQ, 16-Dec-2021,922,926.05,932.65,918,923.65,922.4,925.23,813792,7529.48,23518,381524,46.88
MCL, EQ, 16-Dec-2021,34.35,34.75,35,33.85,34,34.1,34.33,41638,14.29,275,31659,76.03
MCLEODRUSS, EQ, 16-Dec-2021,27.85,27.95,28.25,27.3,27.5,27.45,27.67,253054,70.02,885,166533,65.81
MCX, EQ, 16-Dec-2021,1758.55,1764.25,1779.7,1687.05,1706.2,1709.25,1723.24,686911,11837.1,41727,187228,27.26
MEDICAMEQ, EQ, 16-Dec-2021,784.9,799,918.8,785.45,837,843.25,873.32,345052,3013.41,20332,76595,22.2
MEGASOFT, BE, 16-Dec-2021,47.45,49.8,49.8,45.25,49.8,49.8,49.48,1222322,604.86,3673, -, -
MELSTAR, BZ, 16-Dec-2021,5.55,5.75,5.8,5.55,5.8,5.8,5.67,10361,0.59,15, -, -
MENONBE, EQ, 16-Dec-2021,83.2,84.95,84.95,79.95,81.8,82.2,82,51563,42.28,1338,29708,57.61
MEP, BE, 16-Dec-2021,19.4,20,20.35,19.8,20,20,20.1,412339,82.88,695, -, -
MERCATOR, BE, 16-Dec-2021,1.85,1.9,1.9,1.9,1.9,1.9,1.9,199003,3.78,92, -, -
METALFORGE, BZ, 16-Dec-2021,6,6.3,6.3,6,6.3,6.3,6.27,44365,2.78,117, -, -
METROPOLIS, EQ, 16-Dec-2021,3281.55,3294.9,3414.95,3246,3337,3335.75,3340.47,222256,7424.4,20263,39293,17.68
MFL, EQ, 16-Dec-2021,765.1,765.35,771.1,756,767,759.95,761.07,23994,182.61,1298,15840,66.02
MFSL, EQ, 16-Dec-2021,979.4,981,989,974.3,977,976.75,978.96,129556,1268.3,7488,51185,39.51
MGEL, BE, 16-Dec-2021,118.05,123.9,123.95,116.7,117,117.05,122.59,56684,69.49,285, -, -
MGL, EQ, 16-Dec-2021,900.1,903,906.45,886.1,891.5,890.15,895.9,644844,5777.17,21785,385883,59.84
MHHL, SM, 16-Dec-2021,25.6,25,25,24.95,24.95,24.95,24.99,15000,3.75,2,15000,100
MHRIL, EQ, 16-Dec-2021,207.3,208.6,210.75,206.5,207.5,207.55,209.02,216455,452.44,6167,134360,62.07
MIDHANI, EQ, 16-Dec-2021,183.9,184.1,187,183.8,184.75,184.75,185.61,124742,231.53,3359,51429,41.23
MILTON, SM, 16-Dec-2021,15,15,15,15,15,15,15,4400,0.66,1,4400,100
MINDACORP, EQ, 16-Dec-2021,168.8,170.9,172.15,166.05,167.9,167.5,168.26,328674,553.02,6592,94715,28.82
MINDAIND, EQ, 16-Dec-2021,1002.15,1011.2,1050,1005.65,1039.9,1038.65,1029.71,1441993,14848.32,84621,544235,37.74
MINDSPACE, RR, 16-Dec-2021,329.68,330.95,330.95,326.1,327,327.04,327.86,48757,159.86,422,44227,90.71
